obs_ID,study_ID,year_pub,es,var,original_es_in_MA
obs001,21,2005,0.0348,0.1102,lnRR
obs002,21,2005,0.0605,0.0612,lnRR
obs003,22,2008,-0.2042,0.0319,lnRR
obs004,25,2013,0.039220678,0.006634169,lnRR
obs005,26,1999,0.232193387,0.001740723,lnRR
obs006,30,1995,0.039220713,0.02539645,lnRR
obs007,30,1995,0.530628251,0.024228374,lnRR
obs008,30,1995,1.566530411,0.208716838,lnRR
obs009,30,1995,1.950186706,0.204046871,lnRR
obs010,31,1998,0.064957918,0.067278158,lnRR
obs011,33,1998,0.219470088,0.021081813,lnRR
obs012,58,1997,0.186877373,0.014624686,lnRR
obs013,58,1997,0.42803943,0.019981697,lnRR
obs014,59,1994,0.099846051,0.004367318,lnRR
obs015,59,1994,0.221340467,0.004367318,lnRR
obs016,60,1999,0.258599737,0.00395732,lnRR
obs017,71,1997,-0.566395435,0.083385911,lnRR
obs018,71,1997,-0.432864114,0.036059205,lnRR
obs019,72,1990,0.445270117,0.004367318,lnRR
obs020,80,2004,-0.042120713,0.004367318,lnRR
obs021,80,2004,0.004738725,0.004367318,lnRR
obs022,85,2000,0.1821,0.0347,lnRR
obs023,90,2008,-0.0789,1.0418,lnRR
obs024,90,2008,0.1108,0.5935,lnRR
obs025,90,2008,0.1448,0.4462,lnRR
obs026,91,2007,0.578077851,0.004367318,lnRR
obs027,91,2007,1.3368,0.033,lnRR
obs028,91,2007,1.4782,0.9641,lnRR
obs029,91,2007,1.5987,0.0629,lnRR
obs030,92,2000,1.846266739,0.065974968,lnRR
obs031,98,2004,0.213,0.051,lnRR
obs032,98,2004,0.944190569,0.004813563,lnRR
obs033,99,2005,0.0538,0.0041,lnRR
obs034,99,2005,0.443,0.0072,lnRR
obs035,100,2006,0.1775,0.0046,lnRR
obs036,101,2005,0.0425,0.0599,lnRR
obs037,101,2005,0.0496,0.0655,lnRR
obs038,102,2003,0.26744381,0.005584102,lnRR
obs039,103,2002,0.301890223,0.003695802,lnRR
obs040,104,2003,0.1718,0.0552,lnRR
obs041,106,2002,0.0068,0.1107,lnRR
obs042,107,2006,0.1071,0.1604,lnRR
obs043,108,2009,0.301430773,0.021307048,lnRR
obs044,109,2009,0.056865848,0.002384122,lnRR
obs045,113,2006,0.005524013,0.004367318,lnRR
obs046,113,2006,0.019439571,0.004367318,lnRR
obs047,114,2010,-0.046129829,0.012207397,lnRR
obs048,115,2004,-0.072861349,0.069599664,lnRR
obs049,116,1995,0.652601086,0.019028764,lnRR
obs050,120,1986,-0.3196,0.3699,lnRR
obs051,120,1986,-0.059,0.1968,lnRR
obs052,129,2009,-0.201289579,0.004367318,lnRR
obs053,129,2009,-0.065221669,0.004367318,lnRR
obs054,136,2000,-0.1852,0.2268,lnRR
obs055,136,2000,-0.0598,0.0467,lnRR
obs056,148,2001,0.056206605,0.08889077,lnRR
obs057,148,2001,0.9358,0.2256,lnRR
obs058,151,1992,0.020619287,0.017010418,lnRR
obs059,153,2013,-0.000233438,0.004367318,lnRR
obs060,153,2013,0.126185292,0.004367318,lnRR
obs061,154,2012,-0.3207,0.8066,lnRR
obs062,154,2012,0.1442,0.0267,lnRR
obs063,159,1996,0.405465108,0.12037037,lnRR
obs064,163,2001,0.432010233,1.75E-05,lnRR
obs065,163,2001,0.471639845,8.37E-05,lnRR
obs066,163,2001,0.519875459,3.46E-05,lnRR
obs067,163,2001,0.666478933,7.03E-05,lnRR
obs068,163,2001,0.673812529,3.69E-05,lnRR
obs069,163,2001,0.86325315,5.17E-05,lnRR
obs070,163,2001,0.937715622,4.68E-05,lnRR
obs071,174,2012,-0.772355233,0.061661837,lnRR
obs072,174,2012,-0.0689,0.1158,lnRR
obs073,174,2012,0.277742462,0.04367318,lnRR
obs074,174,2012,0.3145,0.0328,lnRR
obs075,190,2010,0.1171,0.0326,lnRR
obs076,191,1990,0.693147181,0.004367318,lnRR
obs077,191,1990,1.029619417,0.004367318,lnRR
obs078,197,2008,0.126372863,0.004367318,lnRR
obs079,200,2010,1.817505211,0.113512919,lnRR
obs080,207,1975,0.6277,1.1133,lnRR
obs081,207,1975,1.0256,0.1783,lnRR
obs082,212,2011,-0.1462,0.003,lnRR
obs083,212,2011,-0.0146,0.0042,lnRR
obs084,212,2011,-0.0128,0.0042,lnRR
obs085,212,2011,0,0.0025,lnRR
obs086,212,2011,0,0.0042,lnRR
obs087,212,2011,0.0797,0.0024,lnRR
obs088,213,1997,0.072221657,0.004367318,lnRR
obs089,218,1993,-0.090814887,0.004367318,lnRR
obs090,221,2012,-0.084002164,0.004367318,lnRR
obs091,221,2012,-0.031635973,0.004367318,lnRR
obs092,221,2012,-0.015629695,0.004367318,lnRR
obs093,226,2012,0.047272088,0.004367318,lnRR
obs094,226,2012,0.0505,0.0382,lnRR
obs095,226,2012,0.0985,0.0382,lnRR
obs096,226,2012,0.2347,0.0519,lnRR
obs097,226,2012,0.3835,2.5403,lnRR
obs098,226,2012,0.5878,0.0017,lnRR
obs099,235,2009,0.016998672,0.000299625,lnRR
obs100,237,1988,-0.004433618,0.004367318,lnRR
obs101,237,1988,0.056740038,0.004367318,lnRR
obs102,237,1988,0.057671176,0.004367318,lnRR
obs103,241,1998,0.02033972,0.002992081,lnRR
obs104,242,2003,-0.756625929,0.059477224,lnRR
obs105,242,2003,-0.318745721,0.03103723,lnRR
obs106,276,2003,1.767957853,0.457929528,lnRR
obs107,277,2004,-0.582893271,0.004367318,lnRR
obs108,277,2004,0.074588563,0.004367318,lnRR
obs109,280,1994,0.30661252,0.013788384,lnRR
obs110,280,1994,0.397367898,0.02168558,lnRR
obs111,280,1994,0.499129584,0.018889011,lnRR
obs112,280,1994,1.073361778,0.063619632,lnRR
obs113,280,1994,1.760576542,0.291139779,lnRR
obs114,298,2009,0.275841939,0.000425243,lnRR
obs115,298,2009,0.308048608,0.000808143,lnRR
obs116,299,2006,0.310154928,0.002922314,lnRR
obs117,299,2006,0.374693449,0.001673877,lnRR
obs118,300,2009,-0.043485112,0.002428002,lnRR
obs119,300,2009,0.0983,0.0253,lnRR
obs120,302,2008,0.3319,0.0855,lnRR
obs121,302,2008,0.3599,0.0086,lnRR
obs122,303,2013,0.07439826,0.014812011,lnRR
obs123,303,2013,0.305381638,0.010669154,lnRR
obs124,331,1981,-1.0985,0.3536,lnRR
obs125,331,1981,-0.420153358,0.004367318,lnRR
obs126,331,1981,0.677923266,0.004367318,lnRR
obs127,332,1983,-0.0653,0.1087,lnRR
obs128,332,1983,0.108213585,0.013540434,lnRR
obs129,332,1983,0.1401,0.1062,lnRR
obs130,332,1983,0.1526,0.1013,lnRR
obs131,332,1983,0.1565,0.108,lnRR
obs132,332,1983,0.349184272,0.012258701,lnRR
obs133,342,1990,0.113217536,0.004367318,lnRR
obs134,342,1990,0.218817614,0.004367318,lnRR
obs135,343,1997,0.11778302,0.008771605,lnRR
obs136,346,1945,0.144581229,0.004367318,lnRR
obs137,346,1945,0.182321557,0.004367318,lnRR
obs138,346,1945,0.2606,0.0599,lnRR
obs139,347,2012,0.10216813,0.018546884,lnRR
obs140,354,1998,0.078120804,0.004367318,lnRR
obs141,355,2002,0.171022436,0.004367318,lnRR
obs142,369,2009,-0.202078405,0.003568292,lnRR
obs143,369,2009,0.04904858,0.003560159,lnRR
obs144,380,2006,0.541923933,0.025046007,lnRR
obs145,404,2001,0.1843,0.2246,lnRR
obs146,404,2001,0.2214,0.2463,lnRR
obs147,409,2013,-0.843639877,0.024686525,lnRR
obs148,409,2013,0.196888938,0.004367318,lnRR
obs149,413,2013,0.2071,0.0591,lnRR
obs150,423,2013,-0.022917471,0.004367318,lnRR
obs151,423,2013,-0.008667126,0.004367318,lnRR
obs152,433,1995,1.273998635,0.004367318,lnRR
obs153,433,1995,1.414598137,0.004367318,lnRR
obs154,439,2005,0.3816,0.0939,lnRR
obs155,441,2010,0.165185275,0.000448818,lnRR
obs156,447,1994,0.16501581,9.06E-05,lnRR
obs157,449,2006,0.273876698,0.001730479,lnRR
obs158,458,2009,0.537077995,0.001213013,lnRR
obs159,462,1997,0.0945,0.0382,lnRR
obs160,465,2002,0.2677,0.0654,lnRR
obs161,469,1982,-0.236388778,0.033121794,lnRR
obs162,469,1982,-0.080042708,0.007912694,lnRR
obs163,469,1982,0,0.002604167,lnRR
obs164,469,1982,0.05927661,0.030943648,lnRR
obs165,469,1982,0.303186259,0.007482776,lnRR
obs166,469,1982,1.791759469,0.009292593,lnRR
obs167,472,2012,0.651323275,0.004367318,lnRR
obs168,472,2012,0.757348598,0.004367318,lnRR
obs169,473,2012,0.6129,0.0644,lnRR
obs170,473,2012,0.7918,0.0645,lnRR
obs171,486,2012,0.146835358,0.004903039,lnRR
obs172,495,1976,1.686398954,0.036389575,lnRR
obs173,496,1949,0.0829,0.1069,lnRR
obs174,496,1949,0.7662,0.0261,lnRR
obs175,496,1949,1.419654147,0.001277705,lnRR
obs176,505,1993,1.203972804,0.025882784,lnRR
obs177,509,2012,-0.1753,0.2499,lnRR
obs178,509,2012,-0.0297,0.0122,lnRR
obs179,509,2012,-0.023530497,0.000181634,lnRR
obs180,510,1997,-1.333926481,0.004367318,lnRR
obs181,510,1997,-0.999542383,0.004367318,lnRR
obs182,521,2006,-0.010797892,0.004367318,lnRR
obs183,527,2014,0.101404099,0.002763889,lnRR
obs184,542,1998,-1.453852474,0.046688237,lnRR
obs185,542,1998,0.354206292,0.004367318,lnRR
obs186,551,2014,0.8847,0.1005,lnRR
obs187,553,2008,-0.0095,0.3439,lnRR
obs188,553,2008,0.1181,0.0277,lnRR
obs189,557,1969,0.031034234,0.004367318,lnRR
obs190,557,1969,0.095780508,0.004367318,lnRR
obs191,557,1969,0.1477,0.1183,lnRR
obs192,557,1969,0.6958,1.0494,lnRR
obs193,569,1992,-0.235563717,0.004367318,lnRR
obs194,569,1992,-0.108983709,0.004367318,lnRR
obs195,571,1996,-0.262039664,0.003088512,lnRR
obs196,575,1973,0.139761942,0.023643667,lnRR
obs197,575,1973,0.615185639,0.062484173,lnRR
obs198,582,2000,0.072759398,0.003389124,lnRR
obs199,584,1992,0.111482862,0.0042,lnRR
obs200,585,2004,0.012892308,0.005962564,lnRR
obs201,587,1989,-0.155005746,0.00614439,lnRR
obs202,587,1989,0.330513586,0.004367318,lnRR
obs203,590,2010,-0.364643125,0.007589132,lnRR
obs204,603,1997,2.451005098,0.107459374,lnRR
obs205,605,1990,0.020086758,0.004367318,lnRR
obs206,607,1996,0.0237,0.0312,lnRR
obs207,607,1996,0.0922,0.0331,lnRR
obs208,609,2012,0.041882607,0.000194728,lnRR
obs209,611,1995,-0.137647087,0.001016731,lnRR
obs210,611,1995,-0.070658754,0.001266707,lnRR
obs211,611,1995,0.175611023,0.001277211,lnRR
obs212,611,1995,0.182896284,0.00114624,lnRR
obs213,612,2001,0.903996821,0.045504641,lnRR
obs214,613,1996,-0.261903541,0.00365394,lnRR
obs215,613,1996,0.147227074,0.004367318,lnRR
obs216,614,1999,-0.336472237,0.020136054,lnRR
obs217,614,1999,-0.024097552,0.009681479,lnRR
obs218,614,1999,0.164303051,0.018281532,lnRR
obs219,618,1989,-0.003159499,0.004367318,lnRR
obs220,618,1989,0.030695648,0.004367318,lnRR
obs221,619,1989,0.0338,0.0382,lnRR
obs222,622,2013,-0.0011,0.0296,lnRR
obs223,622,2013,0.0029,0.0296,lnRR
obs224,622,2013,0.01,0.0296,lnRR
obs225,622,2013,0.0559,0.0353,lnRR
obs226,622,2013,0.1006,0.5294,lnRR
obs227,622,2013,0.3104,0.5623,lnRR
obs228,624,1995,0.693147181,0.115934917,lnRR
obs229,625,2001,-0.1245,0.1833,lnRR
obs230,626,2008,-0.009278163,0.004367318,lnRR
obs231,626,2008,0.102032821,0.004367318,lnRR
obs232,626,2008,0.147137203,0.004367318,lnRR
obs233,626,2008,0.371672573,0.004367318,lnRR
obs234,628,1997,-0.004549858,0.004367318,lnRR
obs235,631,2001,0.170433735,0.006509572,lnRR
obs236,631,2001,0.230451745,0.013412449,lnRR
obs237,635,2007,1.020360169,0.014232771,lnRR
obs238,638,2003,0.064538521,0.005799093,lnRR
obs239,644,2007,0.352220594,0.004062982,lnRR
obs240,644,2007,0.53680111,0.010019669,lnRR
obs241,650,1979,0.356674944,0.004367318,lnRR
obs242,650,1979,0.419853846,0.004367318,lnRR
obs243,651,1983,0.15415068,0.004367318,lnRR
obs244,654,1997,-0.329599357,0.000926818,lnRR
obs245,654,1997,-0.180353052,0.000769181,lnRR
obs246,654,1997,-0.080571612,0.000262687,lnRR
obs247,654,1997,-0.027011288,0.000248272,lnRR
obs248,656,2011,-0.014425969,0.004367318,lnRR
obs249,656,2011,0.000239539,0.004367318,lnRR
obs250,656,2011,0.003498067,0.004367318,lnRR
obs251,656,2011,0.004361074,0.004367318,lnRR
obs252,657,2000,-0.242140052,0.010109092,lnRR
obs253,657,2000,-0.112477983,0.008496558,lnRR
obs254,659,2009,-0.105361163,0.000474691,lnRR
obs255,659,2009,-0.041065638,0.004367318,lnRR
obs256,659,2009,0.005982413,0.004367318,lnRR
obs257,659,2009,2.098018446,0.000250068,lnRR
obs258,664,1998,0.447958544,0.004367318,lnRR
obs259,664,1998,1.035271841,0.004367318,lnRR
obs260,665,1986,0.036629236,0.004367318,lnRR
obs261,665,1986,0.132488671,0.004367318,lnRR
obs262,675,2014,0.5596,0.1404,lnRR
obs263,679,1993,-0.037111394,0.0376,lnRR
obs264,679,1993,0.000831329,0.002091527,lnRR
obs265,680,2014,0.0651,0.0085,lnRR
obs266,681,1997,0.072815463,0.004367318,lnRR
obs267,681,1997,0.431535974,0.004367318,lnRR
obs268,682,2015,0.27911626,0.019016714,lnRR
obs269,683,2004,0.5177,0.147,lnRR
obs270,684,2001,0.122836103,0.004367318,lnRR
obs271,685,2003,0.7494,0.328,lnRR
obs272,686,2005,0.108795643,0.000681271,lnRR
obs273,687,2005,0.0357,0.0351,lnRR
obs274,688,2012,-0.041736211,0.004367318,lnRR
obs275,688,2012,-0.032332208,0.004367318,lnRR
obs276,688,2012,-0.031069718,0.004367318,lnRR
obs277,688,2012,-0.0226,0.0467,lnRR
obs278,688,2012,-0.0222,0.033,lnRR
obs279,689,1997,0.035,0.0099,lnRR
obs280,689,1997,0.0755,0.0003,lnRR
obs281,691,2005,0.005130007,0.004367318,lnRR
obs282,691,2005,0.217210714,0.004367318,lnRR
obs283,692,2006,0.00103309,0.004367318,lnRR
obs284,692,2006,0.002046303,0.004367318,lnRR
obs285,692,2006,0.010089495,0.004367318,lnRR
obs286,692,2006,0.061069581,0.004367318,lnRR
obs287,692,2006,0.152946089,0.004367318,lnRR
obs288,692,2006,0.194894105,0.004367318,lnRR
obs289,694,2000,-0.338583278,0.008250184,lnRR
obs290,695,2011,0.4217,0.3652,lnRR
obs291,695,2011,0.4693,0.2345,lnRR
obs292,696,1998,0.071912648,0.070976833,lnRR
obs293,702,1950,0.433717621,0.004367318,lnRR
obs294,704,1954,1.134272469,0.004367318,lnRR
obs295,708,2002,0.188094756,0.001163734,lnRR
obs296,718,1965,-0.1001,0.1762,lnRR
obs297,718,1965,1.6483,0.0374,lnRR
obs298,720,1948,-0.4702,0.0234,lnRR
obs299,720,1948,-0.1738,0.822,lnRR
obs300,720,1948,0.0113,0.0234,lnRR
obs301,722,1943,0.8032,0.4778,lnRR
obs302,722,1943,0.8435,0.6517,lnRR
obs303,722,1943,0.9972,0.3466,lnRR
obs304,722,1943,1.6093,1.09,lnRR
obs305,724,1981,0.989412997,0.004367318,lnRR
obs306,724,1981,1.296143264,0.004367318,lnRR
obs307,726,1997,0.104446184,0.004367318,lnRR
obs308,726,1997,0.660104598,0.004367318,lnRR
obs309,727,1958,0.4766,0.0238,lnRR
obs310,727,1958,0.4942,0.0606,lnRR
obs311,727,1958,0.5126,0.0965,lnRR
obs312,727,1958,0.559615788,0.004367318,lnRR
obs313,732,2016,-0.657175123,0.056858004,lnRR
obs314,732,2016,-0.280057734,0.015983723,lnRR
obs315,733,2015,0.227057451,0.001885824,lnRR
obs316,734,2015,0.572096449,0.000185708,lnRR
obs317,735,2015,0.343,0.0982,lnRR
obs318,737,2015,0.093090423,0.000867032,lnRR
obs319,738,1963,-0.5614,0.6697,lnRR
obs320,738,1963,-0.051293294,0.004367318,lnRR
obs321,739,2002,0.300575546,0.003825829,lnRR
obs322,740,1997,-0.244629525,0.003462566,lnRR
obs323,741,1992,0.510825624,0.185685333,lnRR
obs324,741,1992,0.550046337,0.18197712,lnRR
obs325,741,1992,0.587786665,0.178673251,lnRR
obs326,741,1992,0.875468737,0.160237037,lnRR
obs327,741,1992,0.9115,1.1427,lnRR
obs328,741,1992,1.280933845,0.147068313,lnRR
obs329,744,2013,-0.849762353,0.029324885,lnRR
obs330,744,2013,0.051898859,0.004367318,lnRR
obs331,745,2013,1.411450769,0.004367318,lnRR
obs332,746,2009,0.103072199,0.029749308,lnRR
obs333,746,2009,0.244757062,0.010567527,lnRR
obs334,749,2000,0.138429042,0.017984177,lnRR
obs335,749,2000,0.605078162,0.033505436,lnRR
obs336,750,2007,0.352220594,0.004062982,lnRR
obs337,751,1990,0.007361996,6.25E-05,lnRR
obs338,753,2015,0.117218921,0.018459816,lnRR
obs339,754,2015,0.316400231,0.054283777,lnRR
obs340,755,2016,-0.678758443,0.065687452,lnRR
obs341,755,2016,-0.01506483,0.004367318,lnRR
obs342,756,2015,0.5243,0.0692,lnRR
obs343,757,2015,-0.0275,0.0467,lnRR
obs344,757,2015,0.3942,0.1692,lnRR
obs345,758,2015,0.2003,0.0467,lnRR
